"","m_ai_24_1_r2024","m_ai_24_1_r2023","m_ai_24_1_r2022","m_ai_24_1_r2021","m_ai_24_1_r2020","m_ai_24_1_r2019","m_ai_24_1_r2018","m_ai_24_1_r2017","m_ai_24_1_r2016","m_ai_24_1_r2015","m_ai_24_1_r2014"
"27",2.26752,2.09805,2.21261,2.06426,2.19889,2.20834,2.26048,2.35466,2.2874,2.52676,2.37534
"28",2.48691,2.28082,2.43974,2.20036,2.34644,2.21619,2.1522,2.26313,2.24441,2.31183,2.14128
"29",3.27281,2.88183,3.3587,2.81515,3.85427,5.45577,6.45555,5.66925,5.02753,2.31413,2.22338
"30",2.19783,2.01871,2.09041,1.89725,1.96874,1.84845,1.72625,1.83797,1.9194,1.71292,1.71475
"31",1.83957,1.67929,1.76861,1.60757,1.71829,1.72299,1.66307,1.72288,1.75871,1.46296,1.45663
"32",1.94797,1.74084,1.90692,1.65946,1.8209,1.90339,1.88425,1.70813,1.6785,1.44476,1.43335
"33",2.29743,1.94702,2.25821,1.8909,2.09889,2.12462,2.00323,1.8162,1.7467,1.53944,1.5325
"34",2.43448,1.88064,2.1604,1.86727,2.09502,2.07219,1.90668,1.74984,1.67947,1.42883,1.42456
"35",2.58368,1.7229,1.83708,1.73943,2.01487,2.13345,1.90857,1.66954,1.60928,1.35733,1.34575
"36",2.25716,1.57434,1.57148,1.59952,1.91002,2.38271,2.10016,1.57063,1.5182,1.31996,1.54665
"37",1.92347,15.7237,22.7616,11.9098,7.64906,3.38182,2.64312,1.57704,1.52762,1.55239,1.54665
"38",27.926,2.18828,1.87579,2.0722,1.99194,1.99266,1.84237,1.42896,1.56944,1.55239,1.54665
"39",1.73021,5.1386,2.47101,2.32789,1.7682,1.54539,1.43546,1.59931,1.56944,1.55239,-9
"40",2.0928,2.55454,2.31497,2.00314,1.53404,1.334,1.6257,1.59931,1.56944,-9,-9
"41",2.65534,2.62388,2.07437,1.915,1.45607,1.65084,1.6257,1.59931,-9,-9,-9
"42",2.98048,2.73942,1.9582,1.87222,1.66568,1.65084,1.6257,-9,-9,-9,-9
"43",2.26548,2.17389,1.57349,1.66003,1.66568,1.65084,-9,-9,-9,-9,-9
"44",1.62489,1.55633,1.74213,1.66003,1.66568,-9,-9,-9,-9,-9,-9
"45",1.39656,1.75791,1.74213,1.66003,-9,-9,-9,-9,-9,-9,-9
"46",1.82955,1.75791,1.74213,-9,-9,-9,-9,-9,-9,-9,-9
"47",1.82955,1.75791,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1.82955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
