"","m_ai_24_1_r2024","m_ai_24_1_r2023","m_ai_24_1_r2022","m_ai_24_1_r2021","m_ai_24_1_r2020","m_ai_24_1_r2019","m_ai_24_1_r2018","m_ai_24_1_r2017","m_ai_24_1_r2016","m_ai_24_1_r2015","m_ai_24_1_r2014"
"1",1.26154,1.24394,1.2346,1.22197,1.22329,1.21816,1.20874,1.22345,1.21561,1.23023,1.22777
"2",1.20211,1.18947,1.1806,1.17538,1.17398,1.16602,1.15453,1.17151,1.16493,1.18424,1.18239
"3",1.1556,1.14485,1.13615,1.13732,1.13342,1.12049,1.10438,1.11965,1.1121,1.13525,1.13577
"4",1.11755,1.10599,1.09827,1.10287,1.09893,1.08216,1.06148,1.07206,1.06188,1.08928,1.09372
"5",1.1,1.08591,1.0835,1.08906,1.09189,1.07857,1.0586,1.06327,1.04796,1.08316,1.09362
"6",1.11194,1.09628,1.10366,1.10834,1.12544,1.12989,1.12868,1.13634,1.11938,1.16471,1.17989
"7",1.13557,1.12252,1.14139,1.1456,1.17949,1.21275,1.24663,1.28121,1.27664,1.33154,1.34128
"8",1.13737,1.13116,1.1552,1.1634,1.20269,1.24941,1.29477,1.3621,1.37396,1.43924,1.43426
"9",1.06919,1.069,1.08628,1.09945,1.12553,1.15537,1.176,1.23765,1.24579,1.30679,1.2977
"10",0.940756,0.941509,0.948945,0.963229,0.974063,0.984295,0.986288,1.03091,1.03236,1.08043,1.07421
"11",0.80509,0.803706,0.805533,0.818341,0.821117,0.821655,0.817333,0.850644,0.849478,0.887594,0.883418
"12",0.695842,0.692065,0.691765,0.702833,0.702606,0.699341,0.693474,0.720853,0.718925,0.751046,0.748182
"13",0.612363,0.606501,0.605588,0.615843,0.614689,0.609377,0.602684,0.626224,0.623941,0.652017,0.650321
"14",0.547656,0.539659,0.538875,0.548482,0.54734,0.540161,0.531897,0.551689,0.548713,0.574368,0.574162
"15",0.503025,0.49243,0.492643,0.501109,0.501097,0.492731,0.482601,0.498549,0.49395,0.519469,0.521508
"16",0.48147,0.467864,0.470359,0.477339,0.480383,0.47335,0.463834,0.477017,0.470324,0.497951,0.502778
"17",0.48502,0.467909,0.474059,0.479088,0.487124,0.48478,0.480482,0.495089,0.488053,0.519064,0.525887
"18",0.509765,0.488895,0.500013,0.50286,0.517623,0.521944,0.524364,0.54477,0.539395,0.575652,0.583576
"19",0.557948,0.533025,0.550281,0.551859,0.575009,0.585783,0.591926,0.618923,0.613833,0.661392,0.672236
"20",0.62556,0.595887,0.621111,0.620625,0.654724,0.673776,0.683532,0.71626,0.708246,0.775555,0.793266
"21",0.720437,0.685842,0.722379,0.718652,0.769427,0.806797,0.832744,0.875922,0.863665,0.964555,0.994362
"22",0.851271,0.813543,0.86401,0.857795,0.931102,1.00398,1.07899,1.1572,1.14965,1.30827,1.35204
"23",1.01822,0.977227,1.03648,1.02386,1.10547,1.19531,1.30588,1.43916,1.45927,1.64181,1.65884
"24",1.34747,1.29407,1.36236,1.34106,1.42206,1.4922,1.55508,1.68562,1.68488,1.87603,1.87668
"25",2.1771,2.07836,2.19566,2.18304,2.30756,2.33398,2.30831,2.39503,2.27798,2.66688,2.77534
"26",2.4251,2.2492,2.37013,2.28295,2.43056,2.45709,2.52176,2.54475,2.41322,2.47497,2.47222
