"","m_ai_24_1_r2024","m_ai_24_1_r2023","m_ai_24_1_r2022","m_ai_24_1_r2021","m_ai_24_1_r2020","m_ai_24_1_r2019","m_ai_24_1_r2018","m_ai_24_1_r2017","m_ai_24_1_r2016","m_ai_24_1_r2015","m_ai_24_1_r2014"
"32",2666.36,2639.51,2686.28,2769.8,2826.37,2868.24,2896.11,3079.18,3084.79,3285.78,3292.19
"33",2645.06,2614.43,2663.94,2747.09,2807.09,2850.5,2879.31,3065.3,3069.81,3276.53,3283.86
"34",2621.23,2586.48,2639.04,2721.35,2785.17,2830.45,2860.49,3049.42,3052.68,3265.06,3273.34
"35",2600.77,2561.39,2617.47,2698.33,2766.57,2814.21,2845.89,3037.73,3039.49,3257.39,3266.65
"36",2603.27,2558.6,2618.8,2697.55,2771.05,2821.69,2855.43,3050.01,3049.92,3272.99,3283.28
"37",2594.83,2545.42,2611.4,2685.78,2765.31,2819.46,2855.95,3053.21,3050.76,3278.77,3290.04
"38",2576.52,2518.3,2591.08,2659.82,2747.02,2806.02,2846.13,3045.97,3040.53,3272.83,3284.94
"39",2602.81,2535.99,2616.56,2678.31,2774.29,2838.89,2883.12,3085.09,3076.04,3311.26,-9
"40",2652.15,2574.82,2664.98,2717.65,2823.94,2895.33,2944.61,3148.28,3134.87,-9,-9
"41",2726.01,2636.04,2737.8,2778.78,2896.98,2976.43,3031.66,3236.49,-9,-9,-9
"42",2805.48,2699.83,2815.75,2841.16,2973.42,3062.61,3124.93,-9,-9,-9,-9
"43",2895.89,2771.46,2904.5,2909.66,3057.83,3158.13,-9,-9,-9,-9,-9
"44",2984.26,2836.72,2990.45,2969.08,3134.96,-9,-9,-9,-9,-9,-9
"45",3075.14,2900.5,3078.79,3023.4,-9,-9,-9,-9,-9,-9,-9
"46",3207.86,3001.55,3207.89,-9,-9,-9,-9,-9,-9,-9,-9
"47",3377.52,3134.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",3554.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
