"","m_ai_24_1_r2024","m_ai_24_1_r2023","m_ai_24_1_r2022","m_ai_24_1_r2021","m_ai_24_1_r2020","m_ai_24_1_r2019","m_ai_24_1_r2018","m_ai_24_1_r2017","m_ai_24_1_r2016","m_ai_24_1_r2015","m_ai_24_1_r2014"
"1",4964.71,4982.99,4982.79,5019.29,5013.92,5019.96,5025.32,5101.88,5110.15,5163.68,5156.01
"2",4936.07,4955.32,4955.22,4993.36,4987.81,4994.53,5000.54,5080.89,5089.88,5145.38,5137.23
"3",4303.28,4327.44,4325.61,4365.35,4357.57,4365.96,4373.6,4459.91,4470.93,4526.22,4515.99
"4",3645,3672.95,3669.45,3710.45,3700.63,3710.01,3718.65,3809.49,3821.93,3877.09,3865.33
"5",3572.78,3600.85,3597.37,3639.91,3629.99,3639.49,3648.29,3742.12,3754.81,3812.24,3800.41
"6",3540.13,3567.83,3564.63,3608.74,3599.06,3608.67,3617.63,3714.28,3727.09,3787.12,3775.42
"7",3616.22,3642.9,3640.31,3686.09,3677.02,3686.61,3695.6,3795.03,3807.75,3870.96,3859.65
"8",3731.66,3756.93,3755.17,3802.7,3794.52,3804.09,3813.06,3915.29,3927.8,3994.59,3983.85
"9",3860.87,3884.4,3883.7,3933.05,3926.07,3935.7,3944.7,4049.72,4061.93,4132.65,4122.62
"10",4002.16,4023.66,4024.28,4075.51,4070.07,4079.9,4089.01,4196.82,4208.65,4283.64,4274.45
"11",4145.5,4164.75,4166.98,4220.21,4216.7,4226.98,4236.37,4347.06,4358.5,4438.11,4429.88
"12",4278.09,4294.94,4299.09,4354.36,4353.18,4364.22,4374.13,4487.7,4498.77,4583.27,4576.06
"13",4397.54,4411.93,4418.27,4475.64,4477.17,4489.31,4499.96,4616.46,4627.21,4716.84,4710.69
"14",4370.17,4382.63,4391.4,4450.93,4455.61,4469.6,4481.53,4601.19,4611.91,4706.85,4701.57
"15",4094.22,4105.72,4116.82,4178.44,4186.39,4202.87,4216.47,4339.34,4350.39,4450.43,4445.71
"16",4129.21,4138.79,4152.24,4216.12,4227.1,4245.26,4259.95,4386.23,4397.27,4502.9,4499
"17",3892.96,3901.53,3917.12,3983.17,3997.13,4017.37,4033.26,4163.18,4174.47,4285.71,4282.3
"18",3717.55,3724.97,3742.6,3810.77,3827.58,3849.75,3866.76,4000.49,4011.98,4128.93,4125.99
"19",3595.08,3601.17,3620.8,3691,3710.59,3734.59,3752.71,3890.37,3902.05,4024.75,4022.26
"20",3533.99,3538.49,3560.17,3632.32,3654.72,3680.49,3699.74,3841.4,3853.21,3981.77,3979.78
"21",3339.61,3342.6,3366.4,3440.24,3465.7,3493.69,3514.44,3660.48,3672.48,3807.2,3805.56
"22",3120.7,3122.01,3147.91,3223.2,3251.73,3281.92,3304.11,3454.45,3466.51,3607.48,3606.21
"23",3018.48,3017.75,3045.59,3122.29,3153.59,3185.32,3208.4,3362.54,3374.39,3521.42,3520.7
"24",2954.91,2951.91,2981.65,3059.65,3093.61,3126.62,3150.34,3308.03,3319.51,3472.53,3472.47
"25",2899.24,2893.75,2925.43,3004.65,3041.29,3075.43,3099.66,3260.83,3271.82,3430.97,3431.63
"26",2777.16,2768.98,2802.66,2882.9,2922.33,2957.66,2982.41,3147.09,3157.49,3322.96,3324.34
"27",2735.97,2725.02,2760.65,2841.84,2883.9,2920.19,2945.33,3113.23,3122.98,3294.53,3296.69
"28",2719.67,2705.83,2743.46,2825.5,2870.22,2907.42,2932.93,3103.97,3113.04,3290.64,3293.62
"29",2703.99,2687.12,2726.87,2809.57,2857.1,2895.4,2921.41,3095.49,3103.77,3287.18,3290.99
"30",2710.83,2690.83,2732.78,2816.02,2866.43,2905.81,2932.37,3109.46,3116.94,3306.23,3310.89
"31",2683.39,2660.05,2704.33,2787.85,2841.24,2881.79,2908.92,3089.04,3095.63,3290.83,3296.36
